,Nocto,Silimastus,Sisolop,Tejaj,Estait,Nomgio,Sisuchi,Casil,Miquigui,Cuyamu,Geliec,Geio,Saspili,Alcas,Janayan,Siutjtu,Salagua,Coloc,Misopsno,Sucu,Lompoc,Jalama,Sipuc,Sajuchu,Yilax,Jonjonata,Najue,Sotonocmu,Aquitsumu,Calahuasa,Tequeps,Elijman,Stucu,Sajcaya,Huiltlic,Huisapa,Miasap,Snojoso,Snihuaj,Snajalayegua,Siguaya
Nocto,,4,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Silimastus,4,,12,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sisolop,8,12,,2,3,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tejaj,1,2,2,,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estait,2,0,3,3,,8,5,2,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nomgio,1,1,5,5,8,,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Sisuchi,0,0,5,1,5,5,,9,8,1,0,0,1,1,0,5,0,0,1,0,0,0,0,2,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0
Casil,0,0,3,0,2,0,9,,4,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0
Miquigui,0,1,2,0,3,3,8,4,,4,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,3,0,0,0,0,0,2,0,1,0
Cuyamu,0,0,1,0,0,0,1,2,4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
Geliec,0,0,0,0,0,0,0,0,1,0,,5,3,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
Geio,0,0,0,0,0,0,0,0,5,1,5,,8,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
Saspili,0,0,0,0,1,0,1,0,4,0,3,8,,4,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,2,7,1,0,2,0,0
Alcas,0,0,0,0,0,0,1,0,1,0,4,6,4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Janayan,0,0,0,0,0,0,0,1,1,0,4,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0
Siutjtu,0,0,0,0,0,0,5,2,0,0,3,5,6,1,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Salagua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
Coloc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Misopsno,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
Sucu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Lompoc,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalama,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sipuc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sajuchu,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,,5,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Yilax,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonjonata,0,2,0,1,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Najue,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,,8,0,6,0,0,0,0,0,0,0,0,0,0,0
Sotonocmu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,,8,1,2,0,2,0,0,0,0,0,0,0,0
Aquitsumu,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,3,4,0,3,0,0,0,2,0,0,1,0
Calahuasa,1,0,1,0,1,2,2,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,6,1,3,,7,1,1,0,1,2,0,0,0,0,0
Tequeps,0,0,0,0,0,0,4,1,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,7,,1,2,0,3,1,0,0,0,0,0
Elijman,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,1,0
Stucu,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,0,,3,3,0,0,0,1,0,0
Sajcaya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,2,0,0,0,0,0,0
Huiltlic,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,2,,0,0,0,0,2,0
Huisapa,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,1,0,1,0,0
Miasap,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,,0,1,0,0
Snojoso,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,2
Snihuaj,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,,3,2
Snajalayegua,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,3,,5
Siguaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,
