village,baptisms,size,coastal,x,y
Alcas,78,medium,TRUE,-119.820739746094,34.4221178420046
Aquitsumu,98,large,FALSE,-119.911061388381,34.686455909242
Calahuasa,182,very large,FALSE,-120.036235403507,34.5833714261968
Casil,115,large,TRUE,-120.076978318235,34.4633516352227
Coloc,48,medium,TRUE,-119.557383435838,34.4221178420046
Cuyamu,27,small,TRUE,-119.954749574053,34.4427347386137
Elijman,17,small,FALSE,-119.907379799701,34.5639817258145
Estait,111,large,TRUE,-120.317508778674,34.4680149808843
Geliec,102,large,TRUE,-119.845774549119,34.4154909823803
Gelo,152,large,TRUE,-119.838902250249,34.4243267952127
Huiltlic,52,medium,FALSE,-119.841847521193,34.6408042096077
Huisapa,56,medium,FALSE,-119.855592118933,34.5553913522273
Jalama,33,small,FALSE,-120.416666233793,34.5752719311004
Janayan,37,small,TRUE,-119.704156104555,34.463597074468
Jonjonata,98,large,FALSE,-120.170736109957,34.6840015167885
Lompoc,52,medium,FALSE,-120.548467108544,34.6707477975399
Miasap,25,small,FALSE,-119.809449540808,34.5718357816655
Miquigui,324,largest,TRUE,-119.967266975565,34.448625280502
Misopsno,135,large,TRUE,-119.505350315824,34.3941377680352
Najue,106,large,FALSE,-120.196261791473,34.5340381378823
Nocto,68,medium,TRUE,-120.60246374252,34.5632454080784
Nomgio,186,very large,TRUE,-120.238231902427,34.4731692050365
Sajcaya,37,small,FALSE,-119.764779598155,34.6786018533909
Sajuchu,113,large,FALSE,-120.292964854139,34.6182237990359
Salagua,87,medium,TRUE,-119.640096461519,34.4243267952127
Saspili,324,largest,TRUE,-119.830311876662,34.4324262903091
Siguaya,35,small,FALSE,-119.624879228308,34.5838623046875
Silimastus,106,large,TRUE,-120.494470474568,34.5070398208942
Sipuc,14,hamlet,FALSE,-120.403412514545,34.6393315741356
Sisolop,200,very large,TRUE,-120.409303056433,34.4601609250332
Sisuchi,206,very large,TRUE,-120.129011438248,34.476359915226
Siutjtu,201,very large,TRUE,-119.699983637384,34.4093550012466
Snajalayegua,106,large,FALSE,-119.570882594332,34.5144029982546
Snihuaj,83,medium,FALSE,-119.745144458527,34.5362470910904
Snojoso,31,small,FALSE,-119.767970308344,34.5374742873171
Sotonocmu,193,very large,FALSE,-120.051943515209,34.7443795711436
Stucu,111,large,FALSE,-119.8889718563,34.6560214428191
Sucu,131,large,TRUE,-119.482769905253,34.3862837121841
Tejaj,41,medium,TRUE,-120.347697805851,34.4645788314494
Tequeps,180,very large,FALSE,-119.96014923745,34.5858258186502
Ytiax,49,medium,FALSE,-120.331744254904,34.5649634827958
